Hw,Lw,tw,fc,rv,fyv,rh,fyh,rL,fyL,N,tf,Hf,Vu
1400,2149,150,35,0.005,528,0.005,528,0.005,528,1155,150,1000,1740
1001,2149,150,40.1,0.008,296,0.008,296,0.008,296,1155,150,1000,2100
1001,2149,150,41,0.006,422,0.006,422,0.006,422,1155,150,1000,2190
2200,2149,150,36.3,0.012,296,0.012,296,0.058,296,1155,150,1000,2490
2200,2149,150,34.4,0.009,422,0.009,422,0.045,422,1155,150,1000,2490
2200,2149,150,37.2,0.007,528,0.007,528,0.036,528,1155,150,1000,2430
1400,2149,150,24.5,0.012,296,0.012,296,0.012,296,1155,150,1000,1800
1400,2149,150,27.8,0.009,422,0.009,422,0.009,422,1155,150,1000,1830
1400,2149,150,39.3,0.012,296,0.012,296,0.012,296,1155,150,1000,1890
1400,2149,150,38.8,0.009,422,0.009,422,0.009,422,1155,150,1000,2040
1400,2149,150,37.5,0.007,528,0.007,528,0.007,528,1155,150,1000,1980
1001,2149,150,33.4,0.012,296,0.012,296,0.012,296,1155,150,1000,2250
1001,2149,150,34.6,0.009,422,0.009,422,0.009,422,1155,150,1000,2370
1400,2149,150,27.4,0.016,296,0.016,296,0.016,296,1155,150,1000,1980
1400,2149,150,27.5,0.012,422,0.012,422,0.012,422,1155,150,1000,2040
1400,2149,150,28,0.01,528,0.01,528,0.01,528,1155,150,1000,2040
1400,2149,150,41.8,0.016,296,0.016,296,0.016,296,1155,150,1000,2280
1400,2149,150,43.1,0.012,422,0.012,422,0.012,422,1155,150,1000,2340
1400,2149,150,44.6,0.01,528,0.01,528,0.01,528,1155,150,1000,2430
500,861,70,29.5,0.007,443,0.008,443,0.021,443,0,80,170,255
500,861,70,29.5,0.007,443,0.008,443,0.021,443,0,80,170,204
500,861,70,31,0.007,443,0.008,443,0.021,443,0,80,170,205
500,861,70,30.7,0.006,443,0.008,443,0.021,443,0,80,170,246
500,861,70,30.2,0.006,443,0.008,443,0.021,443,0,80,170,200
500,861,70,30.2,0.006,443,0.008,443,0.021,443,0,80,170,210
500,861,70,39.3,0.006,443,0.008,443,0.021,443,0,80,170,219
500,861,70,37,0.006,443,0.008,443,0.021,443,0,80,170,205
500,861,70,34.5,0.006,443,0.008,443,0.021,443,0,80,170,210
933,827,67,19.1,0.01,325,0.01,325,0.031,297,200,67,95,400
933,827,67,19.1,0.01,325,0.01,325,0.031,297,400,67,95,488
933,827,67,16.6,0.01,325,0.01,325,0.031,297,200,67,95,381
933,827,67,16.6,0.01,325,0.01,325,0.031,297,400,67,95,469
933,827,67,16.2,0.01,325,0.01,325,0.031,297,200,67,95,394
933,827,67,16.2,0.01,325,0.01,325,0.031,297,400,67,95,473
2019,3076,75,21.7,0.008,605,0.008,605,0.004,605,940,95,3045,1277
2019,3086,75,18.8,0.008,605,0.008,605,0.004,605,260,100,3045,891
1100,879,75,104,0.013,402,0.005,550,0.04,444,540,90,375,845
1100,879,75,93,0.013,402,0.005,550,0.04,444,954,90,375,625
1100,879,75,86,0.008,402,0.005,550,0.04,444,953,90,375,866
1100,879,75,91,0.008,402,0.005,550,0.04,444,2365,90,375,801
1100,879,75,84,0.013,402,0.008,550,0.04,444,955,90,375,745
1100,879,75,90,0.013,402,0.008,550,0.04,444,550,90,375,800
1100,879,75,102,0.008,402,0.008,550,0.04,444,952,90,375,845
